"Category","Date","Title","Slug","Url","SourcePage","ImageUrl","LocalPath"
"Sermons","2023-02-13T18:16:01.955Z","Artistic Envy","artistic-envy","https://www.catconnolly.com/post/artistic-envy","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_c36e7d30565e47b99fc8a5e7c1f1a7c7~mv2.jpg","assets/images/writings/aacaad_c36e7d30565e47b99fc8a5e7c1f1a7c7~mv2.jpg"
"Sermons","2023-01-30T17:43:38.618Z","If only, if only...","if-only-if-only","https://www.catconnolly.com/post/if-only-if-only","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_8a1377850625491982f973974e3f9b8e~mv2.jpg","assets/images/writings/aacaad_8a1377850625491982f973974e3f9b8e~mv2.jpg"
"Sermons","2023-01-10T19:05:39.566Z","What's in a name?","what-s-in-a-name","https://www.catconnolly.com/post/what-s-in-a-name","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_35df38c7ee5d46608397e7fae8fba568~mv2.jpg","assets/images/writings/aacaad_35df38c7ee5d46608397e7fae8fba568~mv2.jpg"
"Sermons","2023-01-10T19:03:58.807Z","The Story of Light","the-story-of-light","https://www.catconnolly.com/post/the-story-of-light","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_5c79ab97fea94bf58372f0ff1d3bd09d~mv2.jpg","assets/images/writings/aacaad_5c79ab97fea94bf58372f0ff1d3bd09d~mv2.jpg"
"Sermons","2022-11-28T17:03:03.774Z","Through the Wardrobe","through-the-wardrobe","https://www.catconnolly.com/post/through-the-wardrobe","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_4ab3a4c7bf024db79302bccb3b0723b3~mv2_d_4032_3024_s_4_2.jpg","assets/images/writings/aacaad_4ab3a4c7bf024db79302bccb3b0723b3~mv2_d_4032_3024_s_4_2.jpg"
"Sermons","2022-10-28T15:21:06.874Z","Would you rather?","would-you-rather","https://www.catconnolly.com/post/would-you-rather","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_57c8175a7f9544b99fe4c76402edfd61~mv2.jpg","assets/images/writings/aacaad_57c8175a7f9544b99fe4c76402edfd61~mv2.jpg"
"Sermons","2022-10-12T19:13:17.497Z","First and Second Loves","first-and-second-loves","https://www.catconnolly.com/post/first-and-second-loves","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_8814e0d7bc8e4cfb8f28c555455dcd9f~mv2.jpg","assets/images/writings/aacaad_8814e0d7bc8e4cfb8f28c555455dcd9f~mv2.jpg"
"Sermons","2022-10-12T19:08:58.906Z","Snakes and Scorpions","snakes-and-scorpions","https://www.catconnolly.com/post/snakes-and-scorpions","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_fb0e3d762df6460cb0a4ecc1681f6a50~mv2.jpg","assets/images/writings/aacaad_fb0e3d762df6460cb0a4ecc1681f6a50~mv2.jpg"
"Sermons","2022-10-12T19:05:33.537Z","Tell Your Story","tell-your-story","https://www.catconnolly.com/post/tell-your-story","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_c89c134c57e94371b547b9286cb8106b~mv2.jpg","assets/images/writings/aacaad_c89c134c57e94371b547b9286cb8106b~mv2.jpg"
"Sermons","2022-10-12T19:02:16.112Z","Costly Grace","costly-grace","https://www.catconnolly.com/post/costly-grace","https://www.catconnolly.com/writings/categories/sermons/page/4","https://static.wixstatic.com/media/aacaad_a49c7458d2d84f33914e43985e01dedb~mv2.jpg","assets/images/writings/aacaad_a49c7458d2d84f33914e43985e01dedb~mv2.jpg"
"Sermons","2022-10-12T18:09:59.959Z","3 Wishes","3-wishes","https://www.catconnolly.com/post/3-wishes","https://www.catconnolly.com/writings/categories/sermons/page/5","https://static.wixstatic.com/media/nsplsh_356442395747704a624663~mv2_d_5184_2920_s_4_2.jpg","assets/images/writings/nsplsh_356442395747704a624663~mv2_d_5184_2920_s_4_2.jpg"
"Poetry","2022-11-14T19:00:10.236Z","Autumn","autumn","https://www.catconnolly.com/post/autumn","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_0a7a27f74b774d20925dc3fc75dccb1f~mv2.jpg","assets/images/writings/aacaad_0a7a27f74b774d20925dc3fc75dccb1f~mv2.jpg"
"Poetry","2022-11-14T18:44:03.158Z","Earl Grey","earl-grey","https://www.catconnolly.com/post/earl-grey","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_1edfe6d80d8b49269f7c396ef2bb6412~mv2.jpg","assets/images/writings/aacaad_1edfe6d80d8b49269f7c396ef2bb6412~mv2.jpg"
"Poetry","2022-10-12T20:01:35.183Z","Scars","scars","https://www.catconnolly.com/post/scars","https://www.catconnolly.com/writings/categories/poetry","https://static.wixstatic.com/media/aacaad_f7d67977556d439ca4e9b61d2be0e41b~mv2_d_4032_3024_s_4_2.jpg","assets/images/writings/aacaad_f7d67977556d439ca4e9b61d2be0e41b~mv2_d_4032_3024_s_4_2.jpg"
